200 1 200
2 67 880 3008
2 68 349 4175
2 69 547 7241
2 70 414 9187
2 71 123 8736
2 72 55 4180
2 73 227 1040
2 74 166 7393
2 75 498 9761
2 76 83 9664
2 77 131 874
2 78 672 5686
2 79 938 5820
2 80 817 5421
2 81 497 771
2 82 990 9291
2 83 180 9877
2 84 814 3199
2 85 104 4856
2 86 790 2019
2 87 315 5764
2 88 628 2616
2 89 729 293
2 90 825 9998
2 91 654 1436
2 92 439 2707
2 93 917 5865
2 94 217 6023
2 95 906 7864
2 96 496 4088
2 97 69 6169
2 98 562 4542
2 99 668 3543
2 100 373 1753
2 101 835 1445
2 102 834 7259
2 103 227 4629
2 104 35 8486
2 105 825 3019
2 106 120 9365
2 107 677 702
2 108 725 8911
2 109 629 4385
2 110 146 6393
2 111 345 6154
2 112 652 4154
2 113 153 7895
2 114 634 1701
2 115 532 7196
2 116 497 7141
2 117 264 7093
2 118 464 4572
2 119 567 4500
2 120 735 8509
2 121 748 4656
2 122 644 8950
2 123 169 1455
2 124 763 3160
2 125 583 5973
2 126 101 2792
2 127 127 8062
2 128 843 7416
2 129 524 8342
2 130 279 8052
2 131 291 436
2 132 861 6821
2 133 997 5795
2 134 551 1282
2 135 872 5951
2 136 890 4559
2 137 310 9549
2 138 446 4865
2 139 61 3996
2 140 578 490
2 141 172 4076
2 142 682 8871
2 143 953 2365
2 144 335 823
2 145 531 8806
2 146 19 3535
2 147 788 9268
2 148 341 8412
2 149 717 5450
2 150 920 2368
2 151 507 965
2 152 367 3665
2 153 901 948
2 154 25 5878
2 155 613 5033
2 156 401 6095
2 157 869 6046
2 158 440 5936
2 159 351 9249
2 160 95 6486
2 161 105 9491
2 162 832 748
2 163 198 6101
2 164 19 9683
2 165 185 7862
2 166 349 465
2 167 664 2928
2 168 733 8013
2 169 489 1010
2 170 336 3415
2 171 412 7680
2 172 662 5327
2 173 224 3141
2 174 878 2951
2 175 679 303
2 176 792 1668
2 177 751 9509
2 178 148 4941
2 179 21 9754
2 180 178 8565
2 181 240 8743
2 182 568 5866
2 183 365 6635
2 184 261 4947
2 185 621 799
2 186 784 1555
2 187 373 1457
2 188 997 3692
2 189 865 526
2 190 455 6537
2 191 121 8524
2 192 801 8791
2 193 556 6874
2 194 850 4025
2 195 87 5449
2 196 305 3140
2 197 799 7712
2 198 261 6518
2 199 458 8284
2 200 926 6964
3 4 421 283
3 5 230 7036
3 6 740 2290
3 7 244 6852
3 8 498 7272
3 9 580 969
3 10 690 8316
3 11 197 5430
3 12 183 8509
3 13 274 8564
3 14 554 4816
3 15 89 1652
3 16 858 8293
3 17 66 8026
3 18 620 5484
3 19 405 1721
3 20 592 8340
3 21 985 9251
3 22 84 2513
3 23 444 627
3 24 908 6357
3 25 618 8180
3 26 228 5488
3 27 761 4319
3 28 873 244
3 29 209 1780
3 30 907 5892
3 31 423 2496
3 32 492 7916
3 33 572 3650
3 34 357 7244
3 35 81 2027
3 36 413 2750
3 37 817 250
3 38 306 864
3 39 843 991
3 40 958 4664
3 41 885 7759
3 42 403 7255
3 43 975 3347
3 44 447 6814
3 45 899 9551
3 46 960 3118
3 47 404 4227
3 48 850 7917
3 49 324 4307
3 50 2 3986
3 51 36 5852
3 52 745 202
3 53 945 4739
3 54 633 2490
3 55 887 4078
3 56 589 2983
3 57 651 6949
3 58 714 2240
3 59 25 5561
3 60 302 1859
3 61 38 410
3 62 856 7342
3 63 331 5553
3 64 164 3540
3 65 817 8569
3 66 716 7533
3 67 60 6318
3 68 23 6290
3 69 40 79
3 70 620 8940
3 71 227 6173
3 72 819 6010
3 73 140 654
3 74 486 470
3 75 801 9162
3 76 413 7928
3 77 776 5549
3 78 63 5820
3 79 705 5342
3 80 740 3933
3 81 500 2667
3 82 490 1117
3 83 642 1705
3 84 263 5516
3 85 228 6289
3 86 154 8173
3 87 718 3723
3 88 745 2346
3 89 526 1428
3 90 872 3379
3 91 894 7508
3 92 336 6475
3 93 715 8812
3 94 381 2213
3 95 233 2614
3 96 967 2153
3 97 778 485
3 98 140 9375
3 99 975 5451
3 100 58 1285
3 101 87 6044
3 102 444 4553
3 103 416 3326
3 104 543 4502
3 105 940 9488
3 106 854 3809
3 107 599 9114
3 108 202 7859
3 109 909 6703
3 110 936 6586
3 111 823 6550
3 112 306 5161
3 113 5 3566
3 114 313 8350
3 115 958 6147
3 116 579 5912
3 117 650 4674
3 118 33 8851
3 119 582 1739
3 120 466 8891
3 121 464 2701
3 122 243 6006
3 123 916 7649
3 124 722 1346
3 125 868 8381
3 126 182 5414
3 127 586 6482
3 128 302 3824
3 129 491 1106
3 130 483 5494
3 131 190 7542
3 132 575 616
3 133 400 166
3 134 788 8242
3 135 678 5876
3 136 846 5835
3 137 133 6595
3 138 676 5623
3 139 545 1942
3 140 183 5110
3 141 551 5661
3 142 902 1577
3 143 838 1903
3 144 574 2917
3 145 498 9962
3 146 952 9662
3 147 974 8541
3 148 375 5523
3 149 276 3164
3 150 907 6310
3 151 371 2805
3 152 91 9560
3 153 937 4352
3 154 619 9719
3 155 891 5976
3 156 454 6230
3 157 374 3014
3 158 206 4360
3 159 96 2459
3 160 821 1121
3 161 240 4642
3 162 850 1116
3 163 316 3206
3 164 883 9664
3 165 669 6967
3 166 913 3044
3 167 531 9752
3 168 690 8201
3 169 816 6810
3 170 368 6760
3 171 63 8889
3 172 977 689
3 173 204 7568
3 174 534 9455
3 175 82 7954
3 176 819 1021
3 177 886 7314
3 178 135 1525
3 179 926 753
3 180 584 977
3 181 423 7531
3 182 660 4838
3 183 230 4098
3 184 208 3797
3 185 666 2465
3 186 43 6619
3 187 870 4977
3 188 777 3381
3 189 362 9108
3 190 652 8961
3 191 720 8348
3 192 424 9112
3 193 558 7801
3 194 595 3964
3 195 216 5558
3 196 539 6308
3 197 834 3468
3 198 329 4494
3 199 744 3381
3 200 290 2294
4 5 335 7466
4 6 596 572
4 7 828 3693
4 8 454 8101
4 9 621 72
4 10 656 1383
4 11 136 3757
4 12 569 5792
4 13 330 3582
4 14 843 2915
4 15 302 7149
4 16 389 1407
4 17 655 6046
4 18 430 1221
4 19 552 5296
4 20 657 3545
4 21 624 5623
4 22 806 1304
4 23 153 9644
4 24 187 7555
4 25 209 5558
4 26 968 1630
4 27 662 4453
4 28 264 5366
4 29 231 9793
4 30 322 4264
4 31 2 214
4 32 351 931
4 33 87 9191
4 34 798 632
4 35 336 7692
4 36 109 1308
4 37 287 8398
4 38 279 2907
4 39 765 2594
4 40 734 3353
4 41 805 3319
4 42 341 1022
4 43 831 863
4 44 600 6046
4 45 240 9225
4 46 304 5306
4 47 838 4594
4 48 222 8444
4 49 787 9482
4 50 600 4747
4 51 980 8576
4 52 525 3248
4 53 32 4911
4 54 450 876
4 55 288 7466
4 56 429 6010
4 57 544 3763
4 58 852 7280
4 59 380 3574
4 60 742 9951
4 61 291 2326
4 62 887 4740
4 63 36 5288
4 64 376 6414
4 65 866 6157
4 66 330 1993
4 67 574 6111
4 68 862 936
4 69 518 1939
4 70 583 2114
4 71 48 4335
4 72 186 4949
4 73 10 9955
4 74 911 4534
4 75 248 3326
4 76 938 3104
4 77 273 7200
4 78 998 2673
4 79 523 2452
4 80 766 6217
4 81 886 1110
4 82 808 7203
4 83 409 8617
4 84 153 9849
4 85 361 3913
4 86 768 4932
4 87 76 8434
4 88 497 8499
4 89 244 7617
4 90 253 3321
4 91 579 1016
4 92 509 5435
4 93 24 9609
4 94 393 617
4 95 930 1396
4 96 922 8136
4 97 863 8889
4 98 185 1615
4 99 978 4568
4 100 512 9370
4 101 126 2923
4 102 925 9044
4 103 103 153
4 104 432 3896
4 105 737 5127
4 106 941 583
4 107 718 7698
4 108 859 782
4 109 339 2969
4 110 655 1491
4 111 592 2589
4 112 953 1358
4 113 266 6700
4 114 939 2875
4 115 981 2595
4 116 129 2791
4 117 333 8713
4 118 801 5573
4 119 566 5038
4 120 638 7280
4 121 437 3518
4 122 368 9667
4 123 215 4582
4 124 467 6887
4 125 964 8352
4 126 195 9620
4 127 547 1654
4 128 546 3979
4 129 18 4406
4 130 876 5035
4 131 317 1488
4 132 273 7305
4 133 456 8684
4 134 972 7047
4 135 604 3790
4 136 341 3700
4 137 741 6481
4 138 254 329
4 139 822 3032
4 140 890 5400
4 141 598 4488
4 142 254 734
4 143 535 9371
4 144 967 2998
4 145 493 4525
4 146 129 8552
4 147 90 190
4 148 291 4017
4 149 921 7894
4 150 841 7399
4 151 59 2268
4 152 345 7108
4 153 501 362
4 154 646 8730
4 155 494 4573
4 156 766 1875
4 157 894 7763
4 158 898 1972
4 159 0 1676
4 160 57 4323
4 161 521 2231
4 162 161 290
4 163 608 7801
4 164 609 7934
4 165 106 9057
4 166 641 1971
4 167 476 1486
4 168 33 366
4 169 23 4164
4 170 922 7436
4 171 391 881
4 172 808 5775
4 173 458 2218
4 174 24 1877
4 175 88 9662
4 176 239 2768
4 177 383 5356
4 178 763 3520
4 179 380 3578
4 180 729 7972
4 181 345 2542
4 182 431 7509
4 183 104 7615
4 184 365 5239
4 185 65 9546
4 186 786 5420
4 187 873 3792
4 188 808 468
4 189 849 9551
4 190 356 399
4 191 649 9578
4 192 511 2050
4 193 814 4386
4 194 53 7917
4 195 120 6934
4 196 234 6951
4 197 923 6375
4 198 99 2166
4 199 894 1981
4 200 879 2401
5 6 838 822
5 7 270 8064
5 8 506 5297
5 9 638 3227
5 10 579 9117
5 11 446 8894
5 12 238 2828
5 13 452 4798
5 14 1 2465
5 15 477 9565
5 16 744 7437
5 17 782 1598
5 18 78 6239
5 19 361 5502
5 20 501 1068
5 21 691 1429
5 22 6 4965
5 23 735 7152
5 24 58 7543
5 25 245 5233
5 26 113 7926
5 27 674 125
5 28 109 5974
5 29 217 2541
5 30 585 5391
5 31 811 954
5 32 372 4814
5 33 111 2547
5 34 2 5472
5 35 763 8482
5 36 282 6516
5 37 498 810
5 38 687 1602
5 39 869 876
5 40 499 2833
5 41 657 1573
5 42 870 645
5 43 248 8260
5 44 222 734
5 45 539 5719
5 46 662 1622
5 47 157 977
5 48 326 8945
5 49 38 4338
5 50 840 5069
5 51 675 3479
5 52 299 5119
5 53 571 7934
5 54 452 3017
5 55 691 3836
5 56 4 3628
5 57 978 1240
5 58 221 9596
5 59 205 8874
5 60 240 3981
5 61 731 3676
5 62 777 2269
5 63 947 4936
5 64 132 9869
5 65 455 5418
5 66 691 3682
5 67 300 4269
5 68 316 8830
5 69 761 9099
5 70 324 4150
5 71 545 7035
5 72 950 2542
5 73 391 7132
5 74 490 4760
5 75 410 8949
5 76 529 7746
5 77 683 4662
5 78 931 1100
5 79 939 4540
5 80 519 7780
5 81 336 8137
5 82 604 7618
5 83 664 6038
5 84 800 4757
5 85 497 9509
5 86 780 2598
5 87 103 7885
5 88 917 2349
5 89 158 6056
5 90 955 3771
5 91 555 6872
5 92 156 9213
5 93 863 5836
5 94 579 4540
5 95 221 7903
5 96 419 3028
5 97 730 8756
5 98 586 839
5 99 627 5376
5 100 920 5164
5 101 788 3274
5 102 751 8613
5 103 368 203
5 104 690 5977
5 105 617 8723
5 106 848 1921
5 107 162 2437
5 108 895 727
5 109 316 3259
5 110 625 1670
5 111 208 9544
5 112 968 6119
5 113 766 7437
5 114 592 4968
5 115 871 280
5 116 551 7472
5 117 217 3410
5 118 620 5104
5 119 670 4211
5 120 254 6510
5 121 187 9750
5 122 352 2159
5 123 579 6844
5 124 219 9786
5 125 668 1902
5 126 431 4227
5 127 644 390
5 128 502 7717
5 129 649 8254
5 130 534 9278
5 131 911 153
5 132 269 4258
5 133 948 1840
5 134 222 7637
5 135 664 6540
5 136 800 7190
5 137 362 7662
5 138 604 5088
5 139 983 2698
5 140 307 9045
5 141 121 5639
5 142 809 6603
5 143 600 7774
5 144 564 8641
5 145 665 9182
5 146 275 703
5 147 87 5804
5 148 354 3254
5 149 724 9394
5 150 848 4433
5 151 339 226
5 152 721 1414
5 153 716 4890
5 154 694 8969
5 155 379 4012
5 156 40 6315
5 157 455 7254
5 158 25 5850
5 159 476 5434
5 160 899 9865
5 161 176 2106
5 162 632 3832
5 163 569 9449
5 164 789 7352
5 165 863 5805
5 166 240 6369
5 167 6 4711
5 168 613 2735
5 169 900 7770
5 170 666 9719
5 171 602 6206
5 172 3 4563
5 173 30 8435
5 174 797 1672
5 175 1 3517
5 176 453 2522
5 177 623 2816
5 178 374 909
5 179 354 4710
5 180 258 4595
5 181 264 9715
5 182 593 6980
5 183 308 5842
5 184 274 4862
5 185 646 6545
5 186 516 910
5 187 312 6103
5 188 483 1915
5 189 782 9775
5 190 299 6431
5 191 230 8574
5 192 378 7899
5 193 525 1006
5 194 226 1835
5 195 267 6614
5 196 152 8186
5 197 402 8673
5 198 556 2455
5 199 215 5876
5 200 707 1663
6 7 760 5364
6 8 194 3773
6 9 999 1936
6 10 471 1648
6 11 226 776
6 12 156 5146
6 13 547 3562
6 14 28 7441
6 15 479 280
6 16 862 4168
6 17 964 1597
6 18 563 6484
6 19 332 9131
6 20 232 1641
6 21 26 3472
6 22 118 7158
6 23 129 2283
6 24 603 7192
6 25 981 3341
6 26 660 2201
6 27 456 9844
6 28 446 5492
6 29 664 7845
6 30 958 2747
6 31 160 8147
6 32 913 3121
6 33 924 7498
6 34 285 3002
6 35 685 6450
6 36 176 6041
6 37 367 3698
6 38 915 5527
6 39 717 9263
6 40 597 7709
6 41 404 1362
6 42 447 7164
6 43 142 4293
6 44 701 7799
6 45 623 7194
6 46 931 5575
6 47 322 6020
6 48 960 1564
6 49 459 3565
6 50 818 6411
6 51 673 4897
6 52 395 9814
6 53 192 8027
6 54 710 1104
6 55 566 2173
6 56 987 9522
6 57 242 8450
6 58 932 5288
6 59 534 342
6 60 906 5054
6 61 791 3786
6 62 909 7837
6 63 795 9221
6 64 539 24
6 65 706 450
6 66 363 538
6 67 83 7643
6 68 350 9775
6 69 783 4339
6 70 318 8381
6 71 797 785
6 72 535 4486
6 73 296 8460
6 74 918 477
6 75 460 3118
6 76 498 2901
6 77 865 6202
6 78 57 1603
6 79 490 6978
6 80 140 6682
6 81 632 213
6 82 824 4367
6 83 282 6768
6 84 957 5395
6 85 752 6919
6 86 757 2004
6 87 608 8782
6 88 955 2111
6 89 198 6655
6 90 912 1792
6 91 325 6651
6 92 368 9639
6 93 870 9432
6 94 747 9097
6 95 393 2423
6 96 202 7378
6 97 30 6320
6 98 809 2036
6 99 215 3257
6 100 583 8802
6 101 38 6460
6 102 247 6777
6 103 277 3748
6 104 915 9564
6 105 405 9704
6 106 123 3452
6 107 113 3881
6 108 861 6224
6 109 159 4872
6 110 550 2701
6 111 572 2597
6 112 123 5606
6 113 524 3642
6 114 630 2841
6 115 404 7001
6 116 48 4781
6 117 907 61
6 118 213 7660
6 119 158 7179
6 120 39 1668
6 121 204 5681
6 122 463 4829
6 123 386 6651
6 124 773 6268
6 125 413 322
6 126 242 4953
6 127 169 8446
6 128 249 2517
6 129 563 8457
6 130 300 1235
6 131 952 6798
6 132 627 770
6 133 954 1226
6 134 282 9768
6 135 684 4471
6 136 899 901
6 137 709 4068
6 138 548 454
6 139 283 5713
6 140 356 6039
6 141 640 9991
6 142 802 8548
6 143 407 4822
6 144 881 6919
6 145 427 8450
6 146 536 6825
6 147 535 351
6 148 46 6867
6 149 103 9865
6 150 285 8374
6 151 365 4932
6 152 23 7400
6 153 864 5753
6 154 697 12
6 155 524 723
6 156 312 4462
6 157 179 4493
6 158 412 6335
6 159 587 483
6 160 274 5276
6 161 221 2712
6 162 759 4376
6 163 413 4271
6 164 485 5824
6 165 605 2296
6 166 255 8906
6 167 793 1772
6 168 893 8956
6 169 439 3028
6 170 931 8348
6 171 404 245
6 172 799 3118
6 173 695 847
6 174 458 1321
6 175 85 8094
6 176 636 1706
6 177 883 1738
6 178 92 3808
6 179 420 4074
6 180 578 3050
6 181 39 1242
6 182 429 6949
6 183 633 2110
6 184 943 1018
6 185 33 9594
6 186 976 5459
6 187 797 1748
6 188 425 6243
6 189 181 2480
6 190 527 6669
6 191 359 4227
6 192 127 7987
6 193 173 7433
6 194 361 199
6 195 969 4183
6 196 410 6611
6 197 313 5834
6 198 247 8244
6 199 631 6970
6 200 559 6688
7 8 74 557
7 9 259 6500
7 10 157 1607
7 11 255 732
7 12 959 9226
7 13 411 5698
7 14 944 9359
7 15 860 3550
7 16 684 3105
7 17 97 3781
7 18 53 7927
7 19 522 7228
7 20 663 1606
7 21 351 8689
7 22 611 1282
7 23 82 6729
7 24 816 2429
7 25 912 1782
7 26 513 5106
7 27 803 6134
7 28 679 7323
7 29 104 1884
7 30 451 7872
7 31 902 5485
7 32 835 3470
7 33 532 9944
7 34 241 7540
7 35 905 8278
7 36 653 501
7 37 589 4336
7 38 474 3882
7 39 805 9557
7 40 343 3130
7 41 769 6774
7 42 475 6432
7 43 39 4653
7 44 318 9416
7 45 804 8857
7 46 572 8058
7 47 274 8536
7 48 872 4650
7 49 602 9233
7 50 680 4165
7 51 6 5795
7 52 175 867
7 53 8 1395
7 54 201 7515
7 55 975 1244
7 56 567 1984
7 57 368 2099
7 58 230 8679
7 59 385 1154
7 60 183 4557
7 61 911 406
7 62 75 2112
7 63 947 5105
7 64 873 4173
7 65 946 7351
7 66 97 7848
7 67 723 8470
7 68 448 7460
7 69 861 6233
7 70 850 8828
7 71 790 5520
7 72 227 9722
7 73 949 3537
7 74 542 3849
7 75 717 3153
7 76 907 8203
7 77 31 476
7 78 809 6136
7 79 849 5248
7 80 740 973
7 81 906 5155
7 82 796 7543
7 83 408 7650
7 84 20 1439
7 85 605 5371
7 86 555 8377
7 87 405 3771
7 88 890 8482
7 89 456 2024
7 90 754 2848
7 91 363 825
7 92 454 2220
7 93 969 3165
7 94 697 139
7 95 859 6679
7 96 205 5392
7 97 528 8661
7 98 659 1111
7 99 866 7335
7 100 770 372
7 101 896 5488
7 102 533 625
7 103 924 5038
7 104 953 1808
7 105 535 3653
7 106 789 5489
7 107 105 7002
7 108 113 4876
7 109 735 2731
7 110 743 8035
7 111 808 4769
7 112 829 9174
7 113 559 9038
7 114 146 5318
7 115 356 4187
7 116 899 8233
7 117 598 3419
7 118 75 3938
7 119 406 6019
7 120 640 4649
7 121 538 9673
7 122 144 492
7 123 177 7170
7 124 503 848
7 125 544 3587
7 126 29 7647
7 127 483 2542
7 128 999 5475
7 129 452 2613
7 130 296 5837
7 131 589 7520
7 132 942 5401
7 133 774 6155
7 134 551 592
7 135 865 1069
7 136 3 3361
7 137 516 6488
7 138 899 5483
7 139 267 9472
7 140 570 1220
7 141 811 302
7 142 714 700
7 143 623 683
7 144 931 8853
7 145 361 871
7 146 725 7246
7 147 728 9305
7 148 760 8661
7 149 693 843
7 150 410 6766
7 151 264 2197
7 152 922 5708
7 153 227 5660
7 154 708 6994
7 155 517 4709
7 156 590 3480
7 157 156 7601
7 158 36 2829
7 159 918 7529
7 160 670 5274
7 161 144 449
7 162 628 3031
7 163 393 4169
7 164 539 1207
7 165 826 4786
7 166 180 2547
7 167 523 9072
7 168 106 858
7 169 129 3906
7 170 805 463
7 171 520 6336
7 172 166 1524
7 173 402 366
7 174 310 3573
7 175 14 9075
7 176 88 2109
7 177 362 3145
7 178 778 5582
7 179 652 9398
7 180 799 2636
7 181 847 5444
7 182 464 1928
7 183 512 9015
7 184 90 9385
7 185 384 3101
7 186 2 234
7 187 323 464
7 188 228 5652
7 189 574 3634
7 190 931 6379
7 191 509 8972
7 192 886 8136
7 193 279 5909
7 194 526 6198
7 195 31 4931
7 196 384 8953
7 197 633 433
7 198 946 2809
7 199 57 7006
7 200 240 3272
8 9 860 274
8 10 689 9559
8 11 428 5863
8 12 35 2573
8 13 901 2599
8 14 371 8598
8 15 954 8528
8 16 592 3541
8 17 861 849
8 18 801 5082
8 19 506 3365
8 20 467 2570
8 21 265 7525
8 22 386 6994
8 23 934 5680
8 24 748 5905
8 25 123 7611
8 26 835 593
8 27 787 3957
8 28 175 5401
8 29 815 2613
8 30 179 1490
8 31 853 6706
8 32 564 9913
8 33 780 5231
8 34 110 1345
8 35 507 9951
8 36 549 2302
8 37 26 4650
8 38 625 196
8 39 876 5330
8 40 635 2078
8 41 447 2455
8 42 985 4401
8 43 807 8826
8 44 563 3656
8 45 951 9181
8 46 984 218
8 47 664 127
8 48 985 249
8 49 409 1475
8 50 538 3003
8 51 918 2600
8 52 460 3374
8 53 404 9890
8 54 580 2032
8 55 565 3902
8 56 751 7991
8 57 806 7305
8 58 263 952
8 59 348 7208
8 60 443 3265
8 61 148 7967
8 62 492 3855
8 63 797 3065
8 64 870 8953
8 65 823 7158
8 66 750 6978
8 67 74 1876
8 68 358 7415
8 69 87 1488
8 70 245 6026
8 71 639 7003
8 72 772 1250
8 73 878 9816
8 74 374 9121
8 75 723 8496
8 76 386 6560
8 77 447 4789
8 78 489 5377
8 79 616 7455
8 80 60 1833
8 81 804 5012
8 82 985 9100
8 83 765 1001
8 84 728 2461
8 85 969 7841
8 86 695 9609
8 87 688 7891
8 88 203 868
8 89 44 2799
8 90 596 6691
8 91 697 4740
8 92 293 2280
8 93 93 5623
8 94 836 1668
8 95 437 2883
8 96 223 6106
8 97 834 2928
8 98 65 4102
8 99 234 5853
8 100 384 2954
8 101 146 7502
8 102 81 4118
8 103 256 7484
8 104 379 7263
8 105 389 4222
8 106 789 349
8 107 491 645
8 108 390 5571
8 109 532 6601
8 110 475 3518
8 111 532 6596
8 112 857 393
8 113 98 3951
8 114 387 5628
8 115 176 4965
8 116 468 9743
8 117 917 9181
8 118 633 4795
8 119 838 4354
8 120 460 2261
8 121 701 7208
8 122 390 5691
8 123 775 3574
8 124 235 7983
8 125 417 4010
8 126 424 5622
8 127 121 3494
8 128 288 4722
8 129 485 6283
8 130 927 6224
8 131 740 9527
8 132 450 82
8 133 784 1743
8 134 659 790
8 135 885 4732
8 136 436 9093
8 137 469 38
8 138 413 7217
8 139 676 3544
8 140 710 7476
8 141 600 4294
8 142 780 6583
8 143 382 6135
8 144 670 528
8 145 589 3282
8 146 238 7344
8 147 528 3387
8 148 129 7632
8 149 454 4212
8 150 546 5158
8 151 799 2502
8 152 124 2395
8 153 888 6147
8 154 452 8334
8 155 771 3231
8 156 30 8413
8 157 138 4054
8 158 719 8911
8 159 445 4732
8 160 984 651
8 161 703 3463
8 162 454 9349
8 163 595 3046
8 164 631 2460
8 165 833 5765
8 166 757 4860
8 167 937 9206
8 168 172 8212
8 169 854 4129
8 170 679 1355
8 171 94 7965
8 172 733 1563
8 173 293 46
8 174 494 9018
8 175 390 7155
8 176 40 9337
8 177 827 495
8 178 285 1504
8 179 450 7664
8 180 409 1040
8 181 35 5737
8 182 835 765
8 183 606 4042
8 184 52 3994
8 185 967 7732
8 186 842 7500
8 187 127 5733
8 188 689 4105
8 189 527 9184
8 190 437 7227
8 191 255 8931
8 192 476 2241
8 193 662 3207
8 194 18 1982
8 195 53 9056
8 196 247 6251
8 197 374 3619
8 198 400 7647
8 199 69 3865
8 200 67 8597
9 10 531 5860
9 11 269 6895
9 12 810 7179
9 13 94 9619
9 14 506 8535
9 15 956 7765
9 16 27 3241
9 17 759 6421
9 18 613 5580
